actual Price,pred Price
23.6,29.218660139899292
32.4,33.551467195598065
13.6,14.810657992190968
22.8,25.08472545778361
16.1,19.173927021454425
20.0,23.286403994935554
17.8,17.744122496463866
14.0,14.460921226971704
19.6,23.30259107162709
16.8,20.756479917069456
21.5,22.4531707440595
18.9,18.77736488021158
7.0,-6.5297093461889375
21.2,21.749684925004097
18.5,19.301958693274667
29.8,26.595220809280214
18.8,21.217548781646187
10.2,5.842563450902137
50.0,40.88127145258737
14.1,17.986900482129467
25.2,27.43177299182058
29.1,30.298717532534866
12.7,11.207593733320554
22.4,24.39691542711021
14.2,18.240072543864716
13.8,16.010876184780688
20.3,22.79683608129697
14.9,14.739583498561338
21.7,19.755762719839836
18.3,19.292986690165968
23.1,22.52017325714354
23.8,25.379839827284577
15.0,26.365056511080386
20.8,18.236976904801974
19.1,16.93419023896909
19.4,17.558367555433474
34.7,31.503359015441394
19.5,20.24159575994169
24.4,21.08251444470804
23.4,24.652675635326077
19.7,13.904520831548579
28.2,32.57892684510328
50.0,43.16818646446916
17.4,17.128961132582113
22.6,27.36706025975277
15.1,17.35854091732743
13.1,14.010996314893255
24.2,25.9522958443448
19.9,20.565382977848614
24.0,30.17900870369374
18.9,21.497711191350863
35.4,34.682429625704984
15.2,16.023344008334455
26.5,26.335337509954407
43.5,40.12023825363463
21.2,22.900832152584503
18.4,19.30066017812058
28.5,32.99670513471331
23.9,25.11269666508062
18.5,12.73224636683563
25.0,22.792393315542583
35.4,30.711759583800525
31.5,31.81487172090078
20.2,15.828260364214373
24.1,20.058198357229365
20.0,13.909102924848629
13.1,20.920572343133454
24.8,26.018022506521902
30.8,30.80472089602271
12.7,11.73369774525106
20.0,20.5084227569361
23.7,27.850985941136088
10.8,11.20111240979233
20.6,15.498383120882767
20.8,23.81749186323363
5.0,6.142938715610267
20.1,21.628369044651258
48.5,41.88626638055332
10.9,19.04288451295459
7.0,8.717542512844954
20.9,20.714910501906807
17.2,13.32176762157887
20.9,20.658185672445228
9.7,9.52638634154423
19.4,23.449624789395177
29.0,29.401169437180982
16.4,19.465669314952923
25.0,25.674380335754048
25.0,29.40908718682511
17.1,20.44020288723295
23.2,25.70799403082802
10.4,5.591998420606878
19.6,20.410591084466855
17.2,14.700934625386914
27.5,12.906222407242316
23.0,21.060078228638698
50.0,25.17368386936583
17.9,-0.5204526837966732
9.6,13.857699456693709
17.2,16.19518172635984
22.5,22.24816901385107
21.4,24.524165969669266
